Queens South,,
Backing Unsafely,10,67
Brake Lights (Defect.or  Improper),408,2865
"Bus Lane, Driving in",0,0
Cell Phone,741,9823
Commercial Veh on Pkwy,0,0
Defective Brakes,0,15
Disobey Sign,808,9629
Equipment (Other),11,106
Fail to Keep Right,1,22
Fail to Signal,22,325
Fail to Stop on Signal,185,2261
Following Too Closely,5,29
Headlights (Defect. or Improper),206,1441
Improper Lights,79,1202
Improper Passing,22,301
Improper Turn,532,5134
Improper/Missing Plates,14,116
Not Giving R of W to Pedes.,35,309
Not Giving R of W to Veh.,9,131
One Way Street,13,194
Pavement Markings,146,1629
Safety Belt,1677,14634
"School Bus, Passing Stopped",6,134
Speeding,82,1022
Spillback,14,132
Tinted Windows,1188,10929
Truck Routes,85,762
U-Turn,12,513
Uninspected,81,911
Uninsured,823,8132
Unlicensed Operator,553,5714
Unregistered,80,918
Unsafe Lane Change,6,126
Other Movers,181,2096
TOTAL Movers,8035,81622
