
"23rd Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,11
"Brake Lights (Defect.or  Improper)",86,985
"Bus Lane, Driving in",0,54
"Cell Phone",174,2322
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Sign",6,131
"Equipment (Other)",4,73
"Fail to Keep Right",0,2
"Fail to Signal",0,44
"Fail to Stop on Signal",13,231
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",43,521
"Improper Lights",0,5
"Improper Passing",0,4
"Improper Turn",12,156
"Improper/Missing Plates",0,10
"Not Giving R of W to Pedes.",32,195
"Not Giving R of W to Veh.",1,8
"One Way Street",1,108
"Pavement Markings",0,27
"Safety Belt",68,1565
"School Bus, Passing Stopped",1,63
Speeding,0,6
Spillback,0,3
"Tinted Windows",16,206
"Truck Routes",0,43
U-Turn,0,6
Uninspected,0,7
Uninsured,17,353
"Unlicensed Operator",14,203
Unregistered,1,44
"Unsafe Lane Change",1,33
"Other Movers
TOTAL Movers","1
491",103
,,7525

