
"45th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,2
"Brake Lights (Defect.or  Improper)",19,238
"Bus Lane, Driving in",0,0
"Cell Phone",28,813
"Commercial Veh on Pkwy",1,13
"Defective Brakes",6,9
"Disobey Sign",18,865
"Equipment (Other)",0,7
"Fail to Keep Right",0,3
"Fail to Signal",0,34
"Fail to Stop on Signal",5,230
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,168
"Improper Lights",0,2
"Improper Passing",0,2
"Improper Turn",8,108
"Improper/Missing Plates",2,6
"Not Giving R of W to Pedes.",0,9
"Not Giving R of W to Veh.",0,5
"One Way Street",3,42
"Pavement Markings",3,145
"Safety Belt",32,1160
"School Bus, Passing Stopped",1,33
Speeding,0,228
Spillback,0,2
"Tinted Windows",29,535
"Truck Routes",1,4
U-Turn,15,41
Uninspected,2,25
Uninsured,25,510
"Unlicensed Operator",16,540
Unregistered,1,58
"Unsafe Lane Change",1,42
"Other Movers
TOTAL Movers","5
229",357
,,6236

