
Citywide,,

"Offense Description
Backing Unsafely","MTD 2011
72","YTD 2011"
,,1349
"Brake Lights (Defect.or  Improper)",2326,27818
"Bus Lane, Driving in",92,7777
"Cell Phone",10346,162407
"Commercial Veh on Pkwy",64,1658
"Defective Brakes",20,416
"Disobey Sign",7978,128317
"Equipment (Other)",631,9430
"Fail to Keep Right",28,433
"Fail to Signal",941,13879
"Fail to Stop on Signal",2321,41644
"Following Too Closely",117,1595
"Headlights (Defect. or Improper)",2183,22369
"Improper Lights",374,4850
"Improper Passing",215,4231
"Improper Turn",3424,55601
"Improper/Missing Plates",173,2379
"Not Giving R of W to Pedes.",831,10448
"Not Giving R of W to Veh.",147,1951
"One Way Street",356,5450
"Pavement Markings",1762,21002
"Safety Belt",8326,165444
"School Bus, Passing Stopped",73,2739
Speeding,5843,76493
Spillback,277,4986
"Tinted Windows",6309,82307
"Truck Routes",592,9098
U-Turn,252,3924
Uninspected,506,6628
Uninsured,4206,63721
"Unlicensed Operator",3714,55743
Unregistered,825,11796
"Unsafe Lane Change",265,4836
"Other Movers
TOTAL Movers","2654
68243",50170
,,1062889

