Patrol Bureau,,
Backing Unsafely,88,88
Brake Lights (Defect.or  Improper),2580,2580
"Bus Lane, Driving in",16,16
Cell Phone,11469,11469
Commercial Veh on Pkwy,29,29
Defective Brakes,24,24
Disobey Sign,9169,9169
Equipment (Other),315,315
Fail to Keep Right,34,34
Fail to Signal,906,906
Fail to Stop on Signal,3159,3159
Following Too Closely,43,43
Headlights (Defect. or Improper),2804,2804
Improper Lights,442,442
Improper Passing,242,242
Improper Turn,4692,4692
Improper/Missing Plates,193,193
Not Giving R of W to Pedes.,1163,1163
Not Giving R of W to Veh.,133,133
One Way Street,442,442
Pavement Markings,1365,1365
Safety Belt,9578,9578
"School Bus, Passing Stopped",113,113
Speeding,1740,1740
Spillback,365,365
Tinted Windows,7800,7800
Truck Routes,702,702
U-Turn,353,353
Uninspected,955,955
Uninsured,4607,4607
Unlicensed Operator,4541,4541
Unregistered,917,917
Unsafe Lane Change,256,256
Other Movers,3495,3495
TOTAL Movers,74730,74730
