Citywide,,
Backing Unsafely,131,362
Brake Lights (Defect.or  Improper),2641,7735
"Bus Lane, Driving in",850,1846
Cell Phone,11899,33991
Commercial Veh on Pkwy,83,262
Defective Brakes,50,110
Disobey Sign,11395,38603
Equipment (Other),885,2104
Fail to Keep Right,33,86
Fail to Signal,1603,4536
Fail to Stop on Signal,3132,9929
Following Too Closely,118,332
Headlights (Defect. or Improper),2458,8004
Improper Lights,482,1246
Improper Passing,420,1159
Improper Turn,5030,16414
Improper/Missing Plates,226,613
Not Giving R of W to Pedes.,1074,3379
Not Giving R of W to Veh.,201,601
One Way Street,394,1058
Pavement Markings,2054,6054
Safety Belt,9704,28819
"School Bus, Passing Stopped",82,232
Speeding,7218,20069
Spillback,479,1289
Tinted Windows,9290,27636
Truck Routes,472,1394
U-Turn,371,1266
Uninspected,556,2358
Uninsured,5267,14955
Unlicensed Operator,4919,14800
Unregistered,968,2911
Unsafe Lane Change,320,1188
Other Movers,6148,18080
TOTAL Movers,90953,273421
