Brooklyn South,,
Backing Unsafely,18,60
Brake Lights (Defect.or  Improper),281,840
"Bus Lane, Driving in",0,10
Cell Phone,1890,5353
Commercial Veh on Pkwy,0,28
Defective Brakes,1,9
Disobey Sign,1209,3734
Equipment (Other),19,50
Fail to Keep Right,0,11
Fail to Signal,178,471
Fail to Stop on Signal,438,1511
Following Too Closely,3,14
Headlights (Defect. or Improper),217,693
Improper Lights,47,136
Improper Passing,37,119
Improper Turn,397,1476
Improper/Missing Plates,23,88
Not Giving R of W to Pedes.,166,533
Not Giving R of W to Veh.,33,96
One Way Street,51,126
Pavement Markings,168,569
Safety Belt,1424,4448
"School Bus, Passing Stopped",9,24
Speeding,195,601
Spillback,29,98
Tinted Windows,1541,4441
Truck Routes,46,225
U-Turn,75,282
Uninspected,35,157
Uninsured,948,2565
Unlicensed Operator,570,1813
Unregistered,131,381
Unsafe Lane Change,20,69
Other Movers,377,1043
TOTAL Movers,10576,32074
