Manhattan North,,
Backing Unsafely,9,52
Brake Lights (Defect.or  Improper),387,1804
"Bus Lane, Driving in",1,6
Cell Phone,1902,7288
Commercial Veh on Pkwy,1,3
Defective Brakes,4,40
Disobey Sign,1090,4299
Equipment (Other),52,249
Fail to Keep Right,5,11
Fail to Signal,194,669
Fail to Stop on Signal,357,1309
Following Too Closely,4,8
Headlights (Defect. or Improper),319,1616
Improper Lights,0,2
Improper Passing,16,34
Improper Turn,501,2243
Improper/Missing Plates,19,62
Not Giving R of W to Pedes.,159,872
Not Giving R of W to Veh.,11,45
One Way Street,68,260
Pavement Markings,347,1050
Safety Belt,1041,4354
"School Bus, Passing Stopped",12,47
Speeding,293,949
Spillback,9,132
Tinted Windows,493,1558
Truck Routes,142,498
U-Turn,121,432
Uninspected,43,245
Uninsured,419,1540
Unlicensed Operator,320,1116
Unregistered,87,301
Unsafe Lane Change,52,151
Other Movers,349,1207
TOTAL Movers,8827,34452
