"Moving Violations",,
"41st Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",31,31
"Bus Lane, Driving in",0,0
"Cell Phone",9,9
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,2
"Disobey Sign",101,101
"Equipment (Other)",2,2
"Fail to Keep Right",0,0
"Fail to Signal",13,13
"Fail to Stop on Signal",34,34
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",84,84
"Improper Lights",2,2
"Improper Passing",1,1
"Improper Turn",49,49
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",26,26
"Not Giving R of W to Veh.",2,2
"One Way Street",1,1
"Pavement Markings",10,10
"Safety Belt",13,13
"School Bus, Passing Stopped",0,0
Speeding,77,77
Spillback,0,0
"Tinted Windows",147,147
"Truck Routes",1,1
U-Turn,35,35
Uninspected,5,5
Uninsured,75,75
"Unlicensed Operator",39,39
Unregistered,13,13
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","19
794",19
,,794
"* All figures are preliminary and subject to change.",,
