"Moving Violations",,
"103rd Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
7","YTD 2014"
,,7
"Brake Lights (Defect.or  Improper)",4,4
"Bus Lane, Driving in",0,0
"Cell Phone",173,173
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",449,449
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",31,31
"Fail to Stop on Signal",35,35
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",7,7
"Improper Lights",3,3
"Improper Passing",1,1
"Improper Turn",66,66
"Improper/Missing Plates",8,8
"Not Giving R of W to Pedes.",51,51
"Not Giving R of W to Veh.",1,1
"One Way Street",1,1
"Pavement Markings",52,52
"Safety Belt",177,177
"School Bus, Passing Stopped",3,3
Speeding,8,8
Spillback,3,3
"Tinted Windows",407,407
"Truck Routes",0,0
U-Turn,112,112
Uninspected,14,14
Uninsured,25,25
"Unlicensed Operator",109,109
Unregistered,17,17
"Unsafe Lane Change",3,3
"Other Movers
TOTAL Movers","103
1870",103
,,1870
"* All figures are preliminary and subject to change.",,
