"Moving Violations",,
"110th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",6,6
"Bus Lane, Driving in",0,0
"Cell Phone",219,219
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",194,194
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",8,8
"Fail to Stop on Signal",66,66
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,6
"Improper Lights",3,3
"Improper Passing",1,1
"Improper Turn",8,8
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",39,39
"Not Giving R of W to Veh.",0,0
"One Way Street",11,11
"Pavement Markings",13,13
"Safety Belt",224,224
"School Bus, Passing Stopped",2,2
Speeding,318,318
Spillback,0,0
"Tinted Windows",42,42
"Truck Routes",12,12
U-Turn,0,0
Uninspected,5,5
Uninsured,57,57
"Unlicensed Operator",141,141
Unregistered,6,6
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","22
1406",22
,,1406
"* All figures are preliminary and subject to change.",,
