"Moving Violations",,
"114th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",214,214
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",260,260
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",19,19
"Fail to Stop on Signal",63,63
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",13,13
"Improper Passing",6,6
"Improper Turn",20,20
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",34,34
"Not Giving R of W to Veh.",3,3
"One Way Street",8,8
"Pavement Markings",96,96
"Safety Belt",164,164
"School Bus, Passing Stopped",0,0
Speeding,37,37
Spillback,0,0
"Tinted Windows",63,63
"Truck Routes",12,12
U-Turn,0,0
Uninspected,3,3
Uninsured,78,78
"Unlicensed Operator",63,63
Unregistered,0,0
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","39
1198",39
,,1198
"* All figures are preliminary and subject to change.",,
