"Moving Violations",,
"122nd Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",57,57
"Bus Lane, Driving in",9,9
"Cell Phone",81,81
"Commercial Veh on Pkwy",3,3
"Defective Brakes",0,0
"Disobey Sign",191,191
"Equipment (Other)",34,34
"Fail to Keep Right",4,4
"Fail to Signal",55,55
"Fail to Stop on Signal",61,61
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",11,11
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",6,6
"Improper/Missing Plates",13,13
"Not Giving R of W to Pedes.",12,12
"Not Giving R of W to Veh.",5,5
"One Way Street",4,4
"Pavement Markings",131,131
"Safety Belt",83,83
"School Bus, Passing Stopped",1,1
Speeding,176,176
Spillback,1,1
"Tinted Windows",38,38
"Truck Routes",18,18
U-Turn,19,19
Uninspected,13,13
Uninsured,71,71
"Unlicensed Operator",90,90
Unregistered,16,16
"Unsafe Lane Change",4,4
"Other Movers
TOTAL Movers","70
1281",70
,,1281
"* All figures are preliminary and subject to change.",,
