Queens North,,
Backing Unsafely,14,14
Brake Lights (Defect.or  Improper),69,69
"Bus Lane, Driving in",0,0
Cell Phone,1246,1246
Commercial Veh on Pkwy,1,1
Defective Brakes,1,1
Disobey Sign,1785,1785
Equipment (Other),36,36
Fail to Keep Right,2,2
Fail to Signal,119,119
Fail to Stop on Signal,381,381
Following Too Closely,4,4
Headlights (Defect. or Improper),52,52
Improper Lights,153,153
Improper Passing,21,21
Improper Turn,403,403
Improper/Missing Plates,34,34
Not Giving R of W to Pedes.,332,332
Not Giving R of W to Veh.,14,14
One Way Street,42,42
Pavement Markings,182,182
Safety Belt,1413,1413
"School Bus, Passing Stopped",9,9
Speeding,515,515
Spillback,12,12
Tinted Windows,798,798
Truck Routes,130,130
U-Turn,17,17
Uninspected,135,135
Uninsured,694,694
Unlicensed Operator,1085,1085
Unregistered,115,115
Unsafe Lane Change,13,13
Other Movers,538,538
TOTAL Movers,10365,10365
