"Moving Violations",,
"Midtown South Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,6
"Brake Lights (Defect.or  Improper)",44,89
"Bus Lane, Driving in",0,0
"Cell Phone",205,441
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",229,446
"Equipment (Other)",0,10
"Fail to Keep Right",0,0
"Fail to Signal",12,31
"Fail to Stop on Signal",49,81
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",190,356
"Improper Lights",0,6
"Improper Passing",0,0
"Improper Turn",164,361
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",97,183
"Not Giving R of W to Veh.",0,0
"One Way Street",6,10
"Pavement Markings",9,16
"Safety Belt",237,466
"School Bus, Passing Stopped",0,0
Speeding,1,3
Spillback,66,174
"Tinted Windows",80,106
"Truck Routes",27,42
U-Turn,42,70
Uninspected,2,2
Uninsured,98,167
"Unlicensed Operator",35,78
Unregistered,14,41
"Unsafe Lane Change",13,22
"Other Movers
TOTAL Movers","89
1713",188
,,3398
"* All figures are preliminary and subject to change.",,
