"Moving Violations",,
"76th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,7
"Brake Lights (Defect.or  Improper)",3,20
"Bus Lane, Driving in",0,0
"Cell Phone",73,204
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",27,56
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",23,40
"Fail to Stop on Signal",29,49
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",5,17
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",23,56
"Improper/Missing Plates",4,4
"Not Giving R of W to Pedes.",20,26
"Not Giving R of W to Veh.",1,3
"One Way Street",6,15
"Pavement Markings",127,261
"Safety Belt",30,106
"School Bus, Passing Stopped",0,0
Speeding,14,16
Spillback,0,0
"Tinted Windows",101,158
"Truck Routes",0,1
U-Turn,1,1
Uninspected,0,4
Uninsured,17,35
"Unlicensed Operator",16,35
Unregistered,10,18
"Unsafe Lane Change",1,2
"Other Movers
TOTAL Movers","11
544",22
,,1157
"* All figures are preliminary and subject to change.",,
