"Moving Violations",,
"Queens North",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
14","YTD 2014"
,,28
"Brake Lights (Defect.or  Improper)",72,141
"Bus Lane, Driving in",0,0
"Cell Phone",1340,2586
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,1
"Disobey Sign",1831,3616
"Equipment (Other)",24,60
"Fail to Keep Right",1,3
"Fail to Signal",101,220
"Fail to Stop on Signal",658,1039
"Following Too Closely",4,8
"Headlights (Defect. or Improper)",50,102
"Improper Lights",174,327
"Improper Passing",20,41
"Improper Turn",419,822
"Improper/Missing Plates",38,72
"Not Giving R of W to Pedes.",370,702
"Not Giving R of W to Veh.",23,37
"One Way Street",41,83
"Pavement Markings",96,278
"Safety Belt",1580,2993
"School Bus, Passing Stopped",6,15
Speeding,331,846
Spillback,25,37
"Tinted Windows",708,1506
"Truck Routes",110,240
U-Turn,30,47
Uninspected,78,213
Uninsured,629,1323
"Unlicensed Operator",1044,2129
Unregistered,97,212
"Unsafe Lane Change",10,23
"Other Movers
TOTAL Movers","495
10419",1033
,,20784
"* All figures are preliminary and subject to change.",,
