"Moving Violations",,
"103rd Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,14
"Brake Lights (Defect.or  Improper)",2,14
"Bus Lane, Driving in",0,0
"Cell Phone",178,515
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",386,1192
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",28,82
"Fail to Stop on Signal",38,107
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,10
"Improper Lights",0,6
"Improper Passing",1,5
"Improper Turn",73,242
"Improper/Missing Plates",14,30
"Not Giving R of W to Pedes.",40,150
"Not Giving R of W to Veh.",2,7
"One Way Street",2,4
"Pavement Markings",29,109
"Safety Belt",261,642
"School Bus, Passing Stopped",1,7
Speeding,23,39
Spillback,6,21
"Tinted Windows",326,1070
"Truck Routes",0,0
U-Turn,91,288
Uninspected,6,26
Uninsured,15,59
"Unlicensed Operator",122,339
Unregistered,5,27
"Unsafe Lane Change",4,9
"Other Movers
TOTAL Movers","126
1784",367
,,5382
"* All figures are preliminary and subject to change.",,
