"Moving Violations",,
"121st Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",35,145
"Bus Lane, Driving in",2,8
"Cell Phone",128,325
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",312,759
"Equipment (Other)",7,15
"Fail to Keep Right",0,0
"Fail to Signal",78,335
"Fail to Stop on Signal",44,105
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",24,170
"Improper Lights",1,14
"Improper Passing",1,2
"Improper Turn",5,13
"Improper/Missing Plates",9,27
"Not Giving R of W to Pedes.",18,30
"Not Giving R of W to Veh.",6,20
"One Way Street",1,5
"Pavement Markings",45,122
"Safety Belt",55,112
"School Bus, Passing Stopped",0,2
Speeding,96,180
Spillback,0,1
"Tinted Windows",53,191
"Truck Routes",0,1
U-Turn,5,16
Uninspected,11,39
Uninsured,95,348
"Unlicensed Operator",130,340
Unregistered,15,35
"Unsafe Lane Change",7,14
"Other Movers
TOTAL Movers","23
1209",45
,,3425
"* All figures are preliminary and subject to change.",,
