84th Precinct,,
   April ,,
084sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,8
Brake Lights (Defect.or Improper),24,76
"Bus Lane, Driving in",0,0
Cell Phone,67,290
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Sign,233,705
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,9,49
Fail to Stop on Signal,67,220
Following Too Closely,0,1
Headlights (Defect. or Improper),27,125
Improper Lights,0,0
Improper Passing,28,72
Improper Turn,170,726
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,27,112
Not Giving R of W to Veh.,0,2
One Way Street,7,18
Pavement Markings,133,695
Safety Belt,92,313
"School Bus, Passing Stopped",10,10
Speeding,10,29
Spillback,10,26
Tinted Windows,107,284
Truck Routes,2,18
U-Turn,6,21
Uninspected,5,16
Uninsured,60,240
Unlicensed Operator,54,218
Unregistered,10,46
Unsafe Lane Change,0,0
Other Movers,25,122
084    TOTAL Movers ,1185,4444
