102nd Precinct,,
   April ,,
102sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,5
Brake Lights (Defect.or Improper),36,184
"Bus Lane, Driving in",0,0
Cell Phone,174,474
Commercial Veh on Pkwy,0,0
Defective Brakes,0,6
Disobey Sign,162,584
Equipment (Other),1,1
Fail to Keep Right,0,0
Fail to Signal,21,75
Fail to Stop on Signal,31,177
Following Too Closely,0,2
Headlights (Defect. or Improper),11,67
Improper Lights,0,2
Improper Passing,8,14
Improper Turn,43,156
Improper/Missing Plates,0,5
Not Giving R of W to Pedes.,38,147
Not Giving R of W to Veh.,6,18
One Way Street,4,9
Pavement Markings,24,59
Safety Belt,95,435
"School Bus, Passing Stopped",4,6
Speeding,17,64
Spillback,0,9
Tinted Windows,38,200
Truck Routes,0,1
U-Turn,0,12
Uninspected,6,22
Uninsured,42,217
Unlicensed Operator,62,222
Unregistered,9,37
Unsafe Lane Change,3,25
Other Movers,66,204
102    TOTAL Movers ,902,3439
