"Moving Violations",,
"113th Precinct",,
"   April ",,
113sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,7
"Brake Lights (Defect.or Improper)",55,276
"Bus Lane, Driving in",0,0
"Cell Phone",149,479
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",107,375
"Equipment (Other)",24,107
"Fail to Keep Right",0,0
"Fail to Signal",10,20
"Fail to Stop on Signal",24,137
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",25,93
"Improper Lights",0,3
"Improper Passing",4,13
"Improper Turn",157,721
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",13,74
"Not Giving R of W to Veh.",2,5
"One Way Street",1,1
"Pavement Markings",10,40
"Safety Belt",101,312
"School Bus, Passing Stopped",8,11
Speeding,41,109
Spillback,1,5
"Tinted Windows",170,538
"Truck Routes",6,22
U-Turn,0,0
Uninspected,6,46
Uninsured,103,357
"Unlicensed Operator",144,482
Unregistered,36,131
"Unsafe Lane Change",0,0
"Other Movers",134,362
"113    TOTAL Movers ",1333,4728
"* All figures are preliminary and subject to change.",,
