"Moving Violations",,
"121st Precinct",,
"   April ",,
121sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,6
"Brake Lights (Defect.or Improper)",40,185
"Bus Lane, Driving in",2,10
"Cell Phone",38,363
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,2
"Disobey Sign",371,1130
"Equipment (Other)",4,19
"Fail to Keep Right",0,0
"Fail to Signal",57,392
"Fail to Stop on Signal",47,152
"Following Too Closely",2,3
"Headlights (Defect. or Improper)",24,194
"Improper Lights",2,16
"Improper Passing",8,10
"Improper Turn",40,53
"Improper/Missing Plates",7,34
"Not Giving R of W to Pedes.",8,38
"Not Giving R of W to Veh.",3,23
"One Way Street",0,5
"Pavement Markings",41,163
"Safety Belt",28,140
"School Bus, Passing Stopped",7,9
Speeding,91,271
Spillback,5,6
"Tinted Windows",31,222
"Truck Routes",0,1
U-Turn,9,25
Uninspected,7,46
Uninsured,79,427
"Unlicensed Operator",159,499
Unregistered,11,46
"Unsafe Lane Change",2,16
"Other Movers",51,96
"121    TOTAL Movers ",1177,4602
"* All figures are preliminary and subject to change.",,
