"Moving Violations",,
"122nd Precinct",,
"   April ",,
122sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,5
"Brake Lights (Defect.or Improper)",30,157
"Bus Lane, Driving in",6,40
"Cell Phone",106,364
"Commercial Veh on Pkwy",4,9
"Defective Brakes",0,0
"Disobey Sign",197,819
"Equipment (Other)",10,87
"Fail to Keep Right",0,8
"Fail to Signal",50,248
"Fail to Stop on Signal",27,191
"Following Too Closely",1,7
"Headlights (Defect. or Improper)",31,73
"Improper Lights",0,0
"Improper Passing",1,4
"Improper Turn",6,20
"Improper/Missing Plates",16,46
"Not Giving R of W to Pedes.",5,40
"Not Giving R of W to Veh.",7,32
"One Way Street",8,21
"Pavement Markings",210,681
"Safety Belt",102,378
"School Bus, Passing Stopped",13,17
Speeding,114,619
Spillback,2,4
"Tinted Windows",49,184
"Truck Routes",15,50
U-Turn,17,68
Uninspected,7,50
Uninsured,76,295
"Unlicensed Operator",88,342
Unregistered,10,64
"Unsafe Lane Change",5,26
"Other Movers",103,324
"122    TOTAL Movers ",1317,5273
"* All figures are preliminary and subject to change.",,
