"Moving Violations",,
"Patrol Bureau",,
"   April ",,
patrolsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",173,626
"Brake Lights (Defect.or Improper)",2030,9618
"Bus Lane, Driving in",64,361
"Cell Phone",9888,35844
"Commercial Veh on Pkwy",17,68
"Defective Brakes",38,96
"Disobey Sign",11783,42865
"Equipment (Other)",388,1443
"Fail to Keep Right",19,93
"Fail to Signal",1540,6712
"Fail to Stop on Signal",4066,15522
"Following Too Closely",49,199
"Headlights (Defect. or Improper)",1899,9932
"Improper Lights",373,1544
"Improper Passing",317,1115
"Improper Turn",5880,22523
"Improper/Missing Plates",286,1081
"Not Giving R of W to Pedes.",2366,8930
"Not Giving R of W to Veh.",280,981
"One Way Street",342,1254
"Pavement Markings",2374,8930
"Safety Belt",8600,31163
"School Bus, Passing Stopped",677,1039
Speeding,2896,11377
Spillback,359,1334
"Tinted Windows",5792,25917
"Truck Routes",465,1840
U-Turn,634,2956
Uninspected,440,2402
Uninsured,4294,18714
"Unlicensed Operator",4753,19134
Unregistered,999,4097
"Unsafe Lane Change",319,1407
"Other Movers",4285,15771
"PATROL TOTAL Movers ",78685,306888
"* All figures are preliminary and subject to change.",,
