26th Precinct,,
     May ,,
026sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,3
Brake Lights (Defect.or Improper),7,73
"Bus Lane, Driving in",0,0
Cell Phone,149,562
Commercial Veh on Pkwy,0,4
Defective Brakes,0,1
Disobey Sign,100,212
Equipment (Other),8,14
Fail to Keep Right,0,1
Fail to Signal,2,17
Fail to Stop on Signal,29,137
Following Too Closely,0,0
Headlights (Defect. or Improper),8,54
Improper Lights,0,1
Improper Passing,3,5
Improper Turn,108,373
Improper/Missing Plates,2,4
Not Giving R of W to Pedes.,49,256
Not Giving R of W to Veh.,3,6
One Way Street,0,4
Pavement Markings,64,181
Safety Belt,49,127
"School Bus, Passing Stopped",1,3
Speeding,155,423
Spillback,1,1
Tinted Windows,29,68
Truck Routes,0,0
U-Turn,2,25
Uninspected,1,8
Uninsured,17,63
Unlicensed Operator,23,110
Unregistered,4,26
Unsafe Lane Change,2,7
Other Movers,16,68
026    TOTAL Movers ,833,2837
