62nd Precinct,,
     May ,,
062sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,8
Brake Lights (Defect.or Improper),10,56
"Bus Lane, Driving in",0,0
Cell Phone,115,458
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,343,1174
Equipment (Other),3,8
Fail to Keep Right,0,2
Fail to Signal,34,152
Fail to Stop on Signal,82,375
Following Too Closely,1,3
Headlights (Defect. or Improper),2,26
Improper Lights,4,28
Improper Passing,14,44
Improper Turn,42,135
Improper/Missing Plates,10,30
Not Giving R of W to Pedes.,33,197
Not Giving R of W to Veh.,12,46
One Way Street,19,71
Pavement Markings,28,91
Safety Belt,172,533
"School Bus, Passing Stopped",1,19
Speeding,26,141
Spillback,2,3
Tinted Windows,91,408
Truck Routes,3,10
U-Turn,9,49
Uninspected,1,4
Uninsured,59,239
Unlicensed Operator,65,278
Unregistered,11,58
Unsafe Lane Change,8,34
Other Movers,72,254
062    TOTAL Movers ,1273,4934
