83rd Precinct,,
     May ,,
083sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,24
Brake Lights (Defect.or Improper),46,196
"Bus Lane, Driving in",0,0
Cell Phone,166,779
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Sign,363,1496
Equipment (Other),2,10
Fail to Keep Right,0,14
Fail to Signal,43,193
Fail to Stop on Signal,70,316
Following Too Closely,1,2
Headlights (Defect. or Improper),31,158
Improper Lights,0,11
Improper Passing,2,7
Improper Turn,29,162
Improper/Missing Plates,3,16
Not Giving R of W to Pedes.,21,81
Not Giving R of W to Veh.,1,9
One Way Street,5,33
Pavement Markings,19,50
Safety Belt,132,479
"School Bus, Passing Stopped",0,5
Speeding,5,26
Spillback,1,1
Tinted Windows,24,202
Truck Routes,7,28
U-Turn,0,2
Uninspected,2,13
Uninsured,64,379
Unlicensed Operator,136,701
Unregistered,10,89
Unsafe Lane Change,3,9
Other Movers,10,60
083    TOTAL Movers ,1201,5556
