Brooklyn South,,
     May ,,
pbbssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,38,174
Brake Lights (Defect.or Improper),134,827
"Bus Lane, Driving in",28,216
Cell Phone,2121,8669
Commercial Veh on Pkwy,0,33
Defective Brakes,1,9
Disobey Sign,1666,8254
Equipment (Other),34,147
Fail to Keep Right,3,9
Fail to Signal,397,1810
Fail to Stop on Signal,848,4011
Following Too Closely,8,46
Headlights (Defect. or Improper),80,756
Improper Lights,71,471
Improper Passing,86,405
Improper Turn,921,4055
Improper/Missing Plates,83,266
Not Giving R of W to Pedes.,684,2552
Not Giving R of W to Veh.,97,366
One Way Street,41,209
Pavement Markings,626,2267
Safety Belt,2115,8088
"School Bus, Passing Stopped",22,179
Speeding,655,2151
Spillback,73,273
Tinted Windows,1131,6068
Truck Routes,117,453
U-Turn,146,795
Uninspected,55,450
Uninsured,666,4099
Unlicensed Operator,734,3579
Unregistered,151,788
Unsafe Lane Change,42,211
Other Movers,942,3286
PBBS   TOTAL Movers ,14816,65972
