73rd Precinct,,
    June ,,
073sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,26
Brake Lights (Defect.or Improper),34,311
"Bus Lane, Driving in",0,0
Cell Phone,202,1511
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Sign,135,930
Equipment (Other),2,13
Fail to Keep Right,0,1
Fail to Signal,16,168
Fail to Stop on Signal,60,500
Following Too Closely,0,6
Headlights (Defect. or Improper),15,272
Improper Lights,0,0
Improper Passing,3,41
Improper Turn,73,387
Improper/Missing Plates,13,79
Not Giving R of W to Pedes.,20,145
Not Giving R of W to Veh.,9,87
One Way Street,2,4
Pavement Markings,37,236
Safety Belt,203,740
"School Bus, Passing Stopped",0,18
Speeding,37,283
Spillback,9,44
Tinted Windows,80,1660
Truck Routes,0,2
U-Turn,0,0
Uninspected,12,116
Uninsured,99,569
Unlicensed Operator,92,569
Unregistered,33,201
Unsafe Lane Change,1,8
Other Movers,104,757
073    TOTAL Movers ,1293,9685
