"Moving Violations",,
"102nd Precinct",,
"    June ",,
102sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,8
"Brake Lights (Defect.or Improper)",15,211
"Bus Lane, Driving in",0,0
"Cell Phone",134,713
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,6
"Disobey Sign",371,1100
"Equipment (Other)",1,2
"Fail to Keep Right",0,0
"Fail to Signal",42,129
"Fail to Stop on Signal",37,243
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",3,83
"Improper Lights",10,36
"Improper Passing",2,20
"Improper Turn",119,335
"Improper/Missing Plates",0,8
"Not Giving R of W to Pedes.",29,216
"Not Giving R of W to Veh.",2,22
"One Way Street",2,13
"Pavement Markings",41,115
"Safety Belt",154,703
"School Bus, Passing Stopped",0,7
Speeding,72,194
Spillback,4,14
"Tinted Windows",14,258
"Truck Routes",0,11
U-Turn,3,17
Uninspected,0,24
Uninsured,55,323
"Unlicensed Operator",48,341
Unregistered,6,53
"Unsafe Lane Change",9,41
"Other Movers",34,300
"102    TOTAL Movers ",1208,5548
"* All figures are preliminary and subject to change.",,
