"Moving Violations",,
"114th Precinct",,
"    June ",,
114sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,6
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",221,1388
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,0
"Disobey Sign",273,1768
"Equipment (Other)",7,9
"Fail to Keep Right",0,0
"Fail to Signal",23,106
"Fail to Stop on Signal",69,462
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",9,66
"Improper Passing",6,25
"Improper Turn",78,283
"Improper/Missing Plates",3,5
"Not Giving R of W to Pedes.",17,175
"Not Giving R of W to Veh.",2,13
"One Way Street",1,26
"Pavement Markings",26,268
"Safety Belt",109,883
"School Bus, Passing Stopped",4,7
Speeding,48,346
Spillback,5,8
"Tinted Windows",162,553
"Truck Routes",1,55
U-Turn,0,0
Uninspected,8,23
Uninsured,70,348
"Unlicensed Operator",102,497
Unregistered,1,8
"Unsafe Lane Change",0,0
"Other Movers",110,479
"114    TOTAL Movers ",1357,7812
"* All figures are preliminary and subject to change.",,
