"Moving Violations",,
"123rd Precinct",,
"    June ",,
123sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",43,310
"Bus Lane, Driving in",0,0
"Cell Phone",111,405
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",95,434
"Equipment (Other)",3,8
"Fail to Keep Right",0,1
"Fail to Signal",1,11
"Fail to Stop on Signal",24,135
"Following Too Closely",7,32
"Headlights (Defect. or Improper)",38,331
"Improper Lights",7,33
"Improper Passing",15,54
"Improper Turn",15,82
"Improper/Missing Plates",10,62
"Not Giving R of W to Pedes.",2,8
"Not Giving R of W to Veh.",2,17
"One Way Street",0,0
"Pavement Markings",34,161
"Safety Belt",304,966
"School Bus, Passing Stopped",2,12
Speeding,141,1142
Spillback,0,2
"Tinted Windows",47,318
"Truck Routes",0,7
U-Turn,0,1
Uninspected,18,169
Uninsured,83,528
"Unlicensed Operator",40,334
Unregistered,10,88
"Unsafe Lane Change",0,0
"Other Movers",63,208
"123    TOTAL Movers ",1115,5866
"* All figures are preliminary and subject to change.",,
