Transportation Bureau,,
    June ,,
cotsum,,
"",  ,  
Backing Unsafely,3,138
Brake Lights (Defect.or Improper),63,301
"Bus Lane, Driving in",88,946
Cell Phone,693,4708
Commercial Veh on Pkwy,105,598
Defective Brakes,3,21
Disobey Sign,796,14836
Equipment (Other),475,2764
Fail to Keep Right,0,2
Fail to Signal,197,1479
Fail to Stop on Signal,744,2567
Following Too Closely,53,371
Headlights (Defect. or Improper),27,164
Improper Lights,12,46
Improper Passing,143,607
Improper Turn,453,3471
Improper/Missing Plates,64,176
Not Giving R of W to Pedes.,322,1461
Not Giving R of W to Veh.,14,154
One Way Street,5,96
Pavement Markings,293,1481
Safety Belt,552,4312
"School Bus, Passing Stopped",4,611
Speeding,5147,34272
Spillback,22,346
Tinted Windows,532,6159
Truck Routes,8,53
U-Turn,2,7
Uninspected,124,599
Uninsured,206,1183
Unlicensed Operator,423,2397
Unregistered,125,650
Unsafe Lane Change,65,426
Other Movers,1630,9584
TOTAL Movers ,13393,96986
*,,
Transportation Bureau, is a citywide unit whose activity is not tracked by Precinct.,
