Bronx,,
Backing Unsafely,28,194
Brake Lights (Defect.or Improper),289,2256
"Bus Lane, Driving in",9,53
Cell Phone,725,4329
Commercial Veh on Pkwy,0,4
Defective Brakes,0,9
Disobey Sign,1389,8036
Equipment (Other),47,330
Fail to Keep Right,4,44
Fail to Signal,173,1399
Fail to Stop on Signal,412,2360
Following Too Closely,0,44
Headlights (Defect. or Improper),269,2286
Improper Lights,10,71
Improper Passing,17,76
Improper Turn,903,4848
Improper/Missing Plates,42,269
Not Giving R of W to Pedes.,370,1750
Not Giving R of W to Veh.,24,196
One Way Street,17,137
Pavement Markings,284,1541
Safety Belt,809,4593
"School Bus, Passing Stopped",14,322
Speeding,598,4190
Spillback,20,134
Tinted Windows,959,7996
Truck Routes,10,125
U-Turn,118,743
Uninspected,56,436
Uninsured,540,3623
Unlicensed Operator,591,3854
Unregistered,182,1068
Unsafe Lane Change,53,206
Other Movers,382,2142
TOTAL Movers,9344,59664
