"Moving Violations",,
"1st Precinct",,
"    July ",,
001sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,13
"Brake Lights (Defect.or Improper)",1,14
"Bus Lane, Driving in",1,22
"Cell Phone",198,1547
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",137,1473
"Equipment (Other)",23,135
"Fail to Keep Right",0,1
"Fail to Signal",12,118
"Fail to Stop on Signal",69,498
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",8,30
"Improper Lights",0,7
"Improper Passing",8,20
"Improper Turn",55,583
"Improper/Missing Plates",2,14
"Not Giving R of W to Pedes.",35,253
"Not Giving R of W to Veh.",0,6
"One Way Street",40,147
"Pavement Markings",40,262
"Safety Belt",89,842
"School Bus, Passing Stopped",0,8
Speeding,10,96
Spillback,1,15
"Tinted Windows",36,309
"Truck Routes",4,30
U-Turn,2,10
Uninspected,0,9
Uninsured,11,141
"Unlicensed Operator",11,158
Unregistered,8,42
"Unsafe Lane Change",6,35
"Other Movers",28,298
"001    TOTAL Movers ",837,7139
"* All figures are preliminary and subject to change.",,
