62nd Precinct,,
    July ,,
062sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,10
Brake Lights (Defect.or Improper),12,75
"Bus Lane, Driving in",0,0
Cell Phone,75,598
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,167,1491
Equipment (Other),8,24
Fail to Keep Right,0,2
Fail to Signal,12,182
Fail to Stop on Signal,68,510
Following Too Closely,0,3
Headlights (Defect. or Improper),0,26
Improper Lights,1,33
Improper Passing,9,69
Improper Turn,16,169
Improper/Missing Plates,9,53
Not Giving R of W to Pedes.,45,268
Not Giving R of W to Veh.,8,56
One Way Street,21,110
Pavement Markings,11,123
Safety Belt,58,699
"School Bus, Passing Stopped",0,19
Speeding,30,191
Spillback,0,3
Tinted Windows,53,513
Truck Routes,1,12
U-Turn,1,53
Uninspected,0,6
Uninsured,23,297
Unlicensed Operator,32,353
Unregistered,13,80
Unsafe Lane Change,2,40
Other Movers,53,345
062    TOTAL Movers ,730,6413
