71st Precinct,,
    July ,,
071sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,50
Brake Lights (Defect.or Improper),17,183
"Bus Lane, Driving in",23,141
Cell Phone,183,1125
Commercial Veh on Pkwy,0,3
Defective Brakes,0,1
Disobey Sign,384,2310
Equipment (Other),16,106
Fail to Keep Right,0,0
Fail to Signal,38,391
Fail to Stop on Signal,104,705
Following Too Closely,2,7
Headlights (Defect. or Improper),9,96
Improper Lights,0,3
Improper Passing,6,35
Improper Turn,70,548
Improper/Missing Plates,10,102
Not Giving R of W to Pedes.,54,429
Not Giving R of W to Veh.,13,138
One Way Street,15,70
Pavement Markings,87,572
Safety Belt,136,690
"School Bus, Passing Stopped",0,18
Speeding,58,238
Spillback,1,38
Tinted Windows,155,1100
Truck Routes,18,94
U-Turn,0,37
Uninspected,42,337
Uninsured,70,667
Unlicensed Operator,105,641
Unregistered,28,198
Unsafe Lane Change,1,19
Other Movers,71,420
071    TOTAL Movers ,1721,11512
