77th Precinct,,
    July ,,
077sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,26
Brake Lights (Defect.or Improper),35,624
"Bus Lane, Driving in",7,13
Cell Phone,63,699
Commercial Veh on Pkwy,0,0
Defective Brakes,1,30
Disobey Sign,210,1034
Equipment (Other),0,0
Fail to Keep Right,0,2
Fail to Signal,35,131
Fail to Stop on Signal,50,537
Following Too Closely,0,8
Headlights (Defect. or Improper),64,1033
Improper Lights,0,0
Improper Passing,1,30
Improper Turn,30,335
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,38,208
Not Giving R of W to Veh.,2,24
One Way Street,7,36
Pavement Markings,13,102
Safety Belt,93,515
"School Bus, Passing Stopped",1,14
Speeding,203,680
Spillback,1,32
Tinted Windows,61,580
Truck Routes,0,13
U-Turn,1,90
Uninspected,3,48
Uninsured,66,556
Unlicensed Operator,50,408
Unregistered,16,128
Unsafe Lane Change,0,9
Other Movers,99,698
077    TOTAL Movers ,1154,8644
