"Moving Violations",,
"78th Precinct",,
"    July ",,
078sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,16
"Brake Lights (Defect.or Improper)",7,84
"Bus Lane, Driving in",0,0
"Cell Phone",137,933
"Commercial Veh on Pkwy",0,15
"Defective Brakes",0,3
"Disobey Sign",109,673
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",31,178
"Fail to Stop on Signal",98,908
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",1,148
"Improper Lights",0,11
"Improper Passing",8,29
"Improper Turn",9,134
"Improper/Missing Plates",0,4
"Not Giving R of W to Pedes.",10,186
"Not Giving R of W to Veh.",0,10
"One Way Street",0,5
"Pavement Markings",15,102
"Safety Belt",78,657
"School Bus, Passing Stopped",0,4
Speeding,23,229
Spillback,17,99
"Tinted Windows",36,274
"Truck Routes",3,47
U-Turn,16,203
Uninspected,1,5
Uninsured,11,166
"Unlicensed Operator",17,173
Unregistered,4,28
"Unsafe Lane Change",1,16
"Other Movers",18,138
"078    TOTAL Movers ",652,5482
"* All figures are preliminary and subject to change.",,
