49th Precinct,,
  August ,,
049sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),16,311
"Bus Lane, Driving in",0,2
Cell Phone,36,431
Commercial Veh on Pkwy,0,1
Defective Brakes,3,19
Disobey Sign,46,710
Equipment (Other),3,6
Fail to Keep Right,0,0
Fail to Signal,17,373
Fail to Stop on Signal,13,139
Following Too Closely,0,5
Headlights (Defect. or Improper),5,175
Improper Lights,0,0
Improper Passing,1,1
Improper Turn,3,123
Improper/Missing Plates,0,11
Not Giving R of W to Pedes.,12,130
Not Giving R of W to Veh.,6,16
One Way Street,0,7
Pavement Markings,23,296
Safety Belt,79,787
"School Bus, Passing Stopped",0,25
Speeding,17,218
Spillback,0,1
Tinted Windows,28,455
Truck Routes,0,1
U-Turn,0,24
Uninspected,0,25
Uninsured,15,180
Unlicensed Operator,36,424
Unregistered,4,60
Unsafe Lane Change,0,17
Other Movers,8,124
049    TOTAL Movers ,371,5105
