61st Precinct,,
  August ,,
061sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,3
Brake Lights (Defect.or Improper),1,10
"Bus Lane, Driving in",0,0
Cell Phone,138,1355
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,24,222
Equipment (Other),3,18
Fail to Keep Right,0,0
Fail to Signal,1,100
Fail to Stop on Signal,19,160
Following Too Closely,0,1
Headlights (Defect. or Improper),1,10
Improper Lights,0,0
Improper Passing,3,15
Improper Turn,10,169
Improper/Missing Plates,2,26
Not Giving R of W to Pedes.,19,258
Not Giving R of W to Veh.,2,28
One Way Street,12,24
Pavement Markings,7,26
Safety Belt,208,1744
"School Bus, Passing Stopped",0,7
Speeding,15,221
Spillback,0,4
Tinted Windows,53,540
Truck Routes,0,37
U-Turn,3,21
Uninspected,1,8
Uninsured,22,261
Unlicensed Operator,38,404
Unregistered,7,73
Unsafe Lane Change,3,22
Other Movers,27,151
061    TOTAL Movers ,620,5918
