"Moving Violations",,
"111th Precinct",,
"  August ",,
111sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",0,3
"Bus Lane, Driving in",0,0
"Cell Phone",170,1852
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",43,417
"Equipment (Other)",1,11
"Fail to Keep Right",0,0
"Fail to Signal",5,40
"Fail to Stop on Signal",29,185
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",1,2
"Improper Lights",2,21
"Improper Passing",0,1
"Improper Turn",4,83
"Improper/Missing Plates",1,19
"Not Giving R of W to Pedes.",19,208
"Not Giving R of W to Veh.",1,4
"One Way Street",0,9
"Pavement Markings",47,369
"Safety Belt",122,1227
"School Bus, Passing Stopped",0,11
Speeding,36,390
Spillback,0,13
"Tinted Windows",27,554
"Truck Routes",0,17
U-Turn,1,13
Uninspected,4,71
Uninsured,19,175
"Unlicensed Operator",25,372
Unregistered,8,64
"Unsafe Lane Change",0,9
"Other Movers",126,796
"111    TOTAL Movers ",691,6940
"* All figures are preliminary and subject to change.",,
