Midtown North Precinct,,
018sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,15
Brake Lights (Defect.or Improper),41,251
"Bus Lane, Driving in",1,38
Cell Phone,117,1752
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Sign,105,939
Equipment (Other),0,15
Fail to Keep Right,0,3
Fail to Signal,13,165
Fail to Stop on Signal,68,650
Following Too Closely,0,2
Headlights (Defect. or Improper),36,276
Improper Lights,0,5
Improper Passing,0,2
Improper Turn,237,2850
Improper/Missing Plates,8,59
Not Giving R of W to Pedes.,26,184
Not Giving R of W to Veh.,0,4
One Way Street,2,71
Pavement Markings,15,128
Safety Belt,104,1451
"School Bus, Passing Stopped",8,19
Speeding,23,66
Spillback,4,87
Tinted Windows,4,130
Truck Routes,0,15
U-Turn,8,98
Uninspected,1,25
Uninsured,65,539
Unlicensed Operator,18,208
Unregistered,13,157
Unsafe Lane Change,3,40
Other Movers,40,362
018    TOTAL Movers ,962,10608
