"Moving Violations",,
"110th Precinct",,
September,,
110sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,6
"Brake Lights (Defect.or Improper)",1,24
"Bus Lane, Driving in",0,0
"Cell Phone",63,1189
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,1
"Disobey Sign",89,1339
"Equipment (Other)",0,5
"Fail to Keep Right",0,3
"Fail to Signal",3,97
"Fail to Stop on Signal",13,471
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",2,66
"Improper Lights",3,12
"Improper Passing",0,18
"Improper Turn",11,241
"Improper/Missing Plates",1,23
"Not Giving R of W to Pedes.",68,1015
"Not Giving R of W to Veh.",0,6
"One Way Street",3,93
"Pavement Markings",5,86
"Safety Belt",201,1893
"School Bus, Passing Stopped",58,99
Speeding,339,2807
Spillback,1,4
"Tinted Windows",30,311
"Truck Routes",4,49
U-Turn,0,25
Uninspected,1,24
Uninsured,18,430
"Unlicensed Operator",122,1211
Unregistered,3,67
"Unsafe Lane Change",0,4
"Other Movers",23,387
"110    TOTAL Movers ",1063,12013
"* All figures are preliminary and subject to change.",,
