120th Precinct,,
120sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,13
Brake Lights (Defect.or Improper),20,381
"Bus Lane, Driving in",0,1
Cell Phone,74,899
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,127,1483
Equipment (Other),13,138
Fail to Keep Right,0,9
Fail to Signal,18,419
Fail to Stop on Signal,51,556
Following Too Closely,0,7
Headlights (Defect. or Improper),20,350
Improper Lights,0,5
Improper Passing,4,31
Improper Turn,3,62
Improper/Missing Plates,15,117
Not Giving R of W to Pedes.,7,232
Not Giving R of W to Veh.,5,45
One Way Street,2,18
Pavement Markings,49,562
Safety Belt,82,920
"School Bus, Passing Stopped",6,31
Speeding,131,878
Spillback,0,5
Tinted Windows,31,392
Truck Routes,0,1
U-Turn,0,24
Uninspected,7,140
Uninsured,32,454
Unlicensed Operator,102,1116
Unregistered,23,220
Unsafe Lane Change,1,11
Other Movers,87,1038
120    TOTAL Movers ,910,10558
