"Moving Violations",,
"Manhattan North",,
September,,
pbmnsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",20,157
"Brake Lights (Defect.or Improper)",244,2688
"Bus Lane, Driving in",19,88
"Cell Phone",1142,12983
"Commercial Veh on Pkwy",0,26
"Defective Brakes",5,67
"Disobey Sign",1407,12072
"Equipment (Other)",63,697
"Fail to Keep Right",1,36
"Fail to Signal",174,2073
"Fail to Stop on Signal",702,5556
"Following Too Closely",2,28
"Headlights (Defect. or Improper)",158,1855
"Improper Lights",5,30
"Improper Passing",28,167
"Improper Turn",1146,10214
"Improper/Missing Plates",26,215
"Not Giving R of W to Pedes.",477,4348
"Not Giving R of W to Veh.",17,224
"One Way Street",83,793
"Pavement Markings",275,2871
"Safety Belt",725,6746
"School Bus, Passing Stopped",207,419
Speeding,263,3159
Spillback,19,99
"Tinted Windows",283,2661
"Truck Routes",76,902
U-Turn,121,1245
Uninspected,30,351
Uninsured,285,2706
"Unlicensed Operator",284,2678
Unregistered,90,944
"Unsafe Lane Change",51,473
"Other Movers",533,4465
"PBMN   TOTAL Movers ",8961,84036
"* All figures are preliminary and subject to change.",,
