63rd Precinct,,
October  ,,
063sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,4
Brake Lights (Defect.or Improper),0,27
"Bus Lane, Driving in",0,0
Cell Phone,124,821
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Sign,146,1455
Equipment (Other),0,0
Fail to Keep Right,0,1
Fail to Signal,32,202
Fail to Stop on Signal,44,234
Following Too Closely,0,1
Headlights (Defect. or Improper),0,44
Improper Lights,0,0
Improper Passing,0,17
Improper Turn,27,275
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,46,160
Not Giving R of W to Veh.,3,39
One Way Street,0,1
Pavement Markings,1,38
Safety Belt,94,572
"School Bus, Passing Stopped",4,17
Speeding,53,180
Spillback,0,11
Tinted Windows,56,438
Truck Routes,0,1
U-Turn,1,4
Uninspected,0,2
Uninsured,11,170
Unlicensed Operator,46,219
Unregistered,0,23
Unsafe Lane Change,1,8
Other Movers,48,404
063    TOTAL Movers ,737,5369
