70th Precinct,,
October  ,,
070sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,46
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,160,2202
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,187,1368
Equipment (Other),10,103
Fail to Keep Right,0,0
Fail to Signal,0,1
Fail to Stop on Signal,109,740
Following Too Closely,0,10
Headlights (Defect. or Improper),0,0
Improper Lights,69,713
Improper Passing,25,188
Improper Turn,146,2088
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,104,997
Not Giving R of W to Veh.,21,119
One Way Street,0,1
Pavement Markings,0,7
Safety Belt,203,2284
"School Bus, Passing Stopped",5,45
Speeding,32,468
Spillback,15,186
Tinted Windows,206,1082
Truck Routes,3,34
U-Turn,0,0
Uninspected,0,29
Uninsured,96,1425
Unlicensed Operator,117,1004
Unregistered,15,137
Unsafe Lane Change,37,85
Other Movers,47,525
070    TOTAL Movers ,1611,15888
