"Moving Violations",,
"73rd Precinct",,
"October  ",,
073sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,39
"Brake Lights (Defect.or Improper)",43,461
"Bus Lane, Driving in",0,0
"Cell Phone",126,2239
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",218,1563
"Equipment (Other)",1,21
"Fail to Keep Right",0,2
"Fail to Signal",58,334
"Fail to Stop on Signal",92,778
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",45,408
"Improper Lights",0,0
"Improper Passing",6,59
"Improper Turn",40,566
"Improper/Missing Plates",6,100
"Not Giving R of W to Pedes.",17,247
"Not Giving R of W to Veh.",28,193
"One Way Street",0,17
"Pavement Markings",23,325
"Safety Belt",157,1371
"School Bus, Passing Stopped",6,39
Speeding,38,390
Spillback,0,53
"Tinted Windows",210,2140
"Truck Routes",1,4
U-Turn,0,0
Uninspected,12,159
Uninsured,87,867
"Unlicensed Operator",103,934
Unregistered,23,325
"Unsafe Lane Change",4,16
"Other Movers",117,1272
"073    TOTAL Movers ",1462,14932
"* All figures are preliminary and subject to change.",,
