"Moving Violations",,
"79th Precinct",,
"October  ",,
079sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",5,39
"Brake Lights (Defect.or Improper)",55,451
"Bus Lane, Driving in",0,0
"Cell Phone",106,1243
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,2
"Disobey Sign",147,1852
"Equipment (Other)",6,10
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Fail to Stop on Signal",109,995
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",29,629
"Improper Lights",0,0
"Improper Passing",8,244
"Improper Turn",69,461
"Improper/Missing Plates",8,38
"Not Giving R of W to Pedes.",31,282
"Not Giving R of W to Veh.",10,29
"One Way Street",0,9
"Pavement Markings",0,121
"Safety Belt",60,732
"School Bus, Passing Stopped",37,107
Speeding,22,460
Spillback,6,99
"Tinted Windows",51,411
"Truck Routes",8,44
U-Turn,19,161
Uninspected,12,73
Uninsured,39,370
"Unlicensed Operator",69,506
Unregistered,22,201
"Unsafe Lane Change",0,0
"Other Movers",22,338
"079    TOTAL Movers ",952,9912
"* All figures are preliminary and subject to change.",,
