81st Precinct,,
October  ,,
081sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,20
Brake Lights (Defect.or Improper),64,814
"Bus Lane, Driving in",0,0
Cell Phone,79,1643
Commercial Veh on Pkwy,0,0
Defective Brakes,2,4
Disobey Sign,52,802
Equipment (Other),6,82
Fail to Keep Right,1,2
Fail to Signal,19,350
Fail to Stop on Signal,35,470
Following Too Closely,0,4
Headlights (Defect. or Improper),76,1059
Improper Lights,2,35
Improper Passing,2,13
Improper Turn,4,64
Improper/Missing Plates,2,13
Not Giving R of W to Pedes.,15,218
Not Giving R of W to Veh.,5,64
One Way Street,3,25
Pavement Markings,15,146
Safety Belt,103,1390
"School Bus, Passing Stopped",1,26
Speeding,66,470
Spillback,4,19
Tinted Windows,74,988
Truck Routes,0,1
U-Turn,0,12
Uninspected,0,18
Uninsured,50,602
Unlicensed Operator,39,587
Unregistered,5,109
Unsafe Lane Change,4,22
Other Movers,98,471
081    TOTAL Movers ,826,10543
