"Moving Violations",,
Citywide,,
"October  ",,
citysum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",208,1715
"Brake Lights (Defect.or Improper)",1950,20302
"Bus Lane, Driving in",242,2488
"Cell Phone",9190,95670
"Commercial Veh on Pkwy",147,1209
"Defective Brakes",24,291
"Disobey Sign",14153,132675
"Equipment (Other)",725,8401
"Fail to Keep Right",50,293
"Fail to Signal",2187,18612
"Fail to Stop on Signal",5353,46920
"Following Too Closely",132,1120
"Headlights (Defect. or Improper)",1845,18838
"Improper Lights",279,3274
"Improper Passing",427,4090
"Improper Turn",6331,64247
"Improper/Missing Plates",303,2950
"Not Giving R of W to Pedes.",3637,28986
"Not Giving R of W to Veh.",335,2848
"One Way Street",512,4498
"Pavement Markings",2128,25728
"Safety Belt",7686,89606
"School Bus, Passing Stopped",1865,4951
Speeding,12540,97668
Spillback,336,3989
"Tinted Windows",7375,63371
"Truck Routes",396,4167
U-Turn,553,6010
Uninspected,447,5410
Uninsured,3970,42500
"Unlicensed Operator",5255,50025
Unregistered,1047,10770
"Unsafe Lane Change",684,4985
"Other Movers",6952,61434
"TOTAL Movers ",99264,930041
,,
"* All figures are preliminary and subject to change.",,
