6th Precinct,,
November ,,
006sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,16
Brake Lights (Defect.or Improper),5,98
"Bus Lane, Driving in",0,0
Cell Phone,51,1322
Commercial Veh on Pkwy,0,1
Defective Brakes,0,5
Disobey Sign,95,1254
Equipment (Other),0,1
Fail to Keep Right,1,1
Fail to Signal,12,75
Fail to Stop on Signal,84,1098
Following Too Closely,0,3
Headlights (Defect. or Improper),5,181
Improper Lights,0,0
Improper Passing,4,45
Improper Turn,47,1056
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,34,717
Not Giving R of W to Veh.,2,11
One Way Street,19,164
Pavement Markings,46,830
Safety Belt,64,1050
"School Bus, Passing Stopped",1,82
Speeding,20,95
Spillback,0,14
Tinted Windows,19,126
Truck Routes,0,4
U-Turn,0,24
Uninspected,1,5
Uninsured,18,283
Unlicensed Operator,15,217
Unregistered,0,24
Unsafe Lane Change,20,97
Other Movers,51,505
006    TOTAL Movers ,614,9407
