"Moving Violations",,
"Midtown North Precinct",,
"November ",,
018sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,17
"Brake Lights (Defect.or Improper)",26,314
"Bus Lane, Driving in",4,52
"Cell Phone",112,2029
"Commercial Veh on Pkwy",17,31
"Defective Brakes",0,2
"Disobey Sign",125,1152
"Equipment (Other)",0,15
"Fail to Keep Right",0,3
"Fail to Signal",4,184
"Fail to Stop on Signal",56,806
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",42,355
"Improper Lights",0,5
"Improper Passing",0,2
"Improper Turn",183,3276
"Improper/Missing Plates",6,73
"Not Giving R of W to Pedes.",15,232
"Not Giving R of W to Veh.",1,6
"One Way Street",6,88
"Pavement Markings",5,141
"Safety Belt",38,1623
"School Bus, Passing Stopped",0,23
Speeding,25,99
Spillback,1,99
"Tinted Windows",8,157
"Truck Routes",0,15
U-Turn,6,113
Uninspected,1,26
Uninsured,60,647
"Unlicensed Operator",23,254
Unregistered,20,194
"Unsafe Lane Change",5,53
"Other Movers",26,422
"018    TOTAL Movers ",816,12510
"* All figures are preliminary and subject to change.",,
