32nd Precinct,,
November ,,
032sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,6,52
Brake Lights (Defect.or Improper),24,380
"Bus Lane, Driving in",0,0
Cell Phone,19,541
Commercial Veh on Pkwy,0,5
Defective Brakes,2,27
Disobey Sign,298,1310
Equipment (Other),6,85
Fail to Keep Right,0,2
Fail to Signal,42,766
Fail to Stop on Signal,48,444
Following Too Closely,2,8
Headlights (Defect. or Improper),53,518
Improper Lights,2,11
Improper Passing,4,6
Improper Turn,38,356
Improper/Missing Plates,1,12
Not Giving R of W to Pedes.,8,314
Not Giving R of W to Veh.,3,24
One Way Street,1,25
Pavement Markings,79,1397
Safety Belt,15,411
"School Bus, Passing Stopped",2,67
Speeding,84,299
Spillback,0,21
Tinted Windows,29,569
Truck Routes,1,29
U-Turn,4,116
Uninspected,5,45
Uninsured,21,480
Unlicensed Operator,39,424
Unregistered,13,126
Unsafe Lane Change,1,33
Other Movers,19,349
032    TOTAL Movers ,869,9252
