"Moving Violations",,
"100th Precinct",,
"November ",,
100sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,8
"Brake Lights (Defect.or Improper)",27,312
"Bus Lane, Driving in",0,0
"Cell Phone",41,474
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Sign",54,676
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",0,2
"Fail to Stop on Signal",24,283
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",0,19
"Improper Lights",0,1
"Improper Passing",5,75
"Improper Turn",38,373
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",6,41
"Not Giving R of W to Veh.",2,21
"One Way Street",0,0
"Pavement Markings",5,121
"Safety Belt",15,493
"School Bus, Passing Stopped",1,38
Speeding,42,381
Spillback,0,0
"Tinted Windows",31,318
"Truck Routes",1,1
U-Turn,0,0
Uninspected,0,40
Uninsured,20,445
"Unlicensed Operator",41,529
Unregistered,3,42
"Unsafe Lane Change",0,0
"Other Movers",30,308
"100    TOTAL Movers ",387,5007
"* All figures are preliminary and subject to change.",,
