Queens North,,
November ,,
pbqnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,7,108
Brake Lights (Defect.or Improper),19,431
"Bus Lane, Driving in",0,0
Cell Phone,815,12630
Commercial Veh on Pkwy,0,14
Defective Brakes,0,2
Disobey Sign,1875,20044
Equipment (Other),26,529
Fail to Keep Right,3,30
Fail to Signal,198,1136
Fail to Stop on Signal,367,5311
Following Too Closely,2,30
Headlights (Defect. or Improper),30,305
Improper Lights,89,1378
Improper Passing,19,238
Improper Turn,467,5074
Improper/Missing Plates,10,329
Not Giving R of W to Pedes.,309,4754
Not Giving R of W to Veh.,10,265
One Way Street,16,382
Pavement Markings,92,1488
Safety Belt,765,14589
"School Bus, Passing Stopped",84,873
Speeding,1376,7899
Spillback,20,216
Tinted Windows,923,6985
Truck Routes,31,746
U-Turn,8,166
Uninspected,34,667
Uninsured,340,5291
Unlicensed Operator,770,10058
Unregistered,67,1021
Unsafe Lane Change,17,134
Other Movers,493,6908
PBQN   TOTAL Movers ,9282,110031
