5th Precinct,,
December ,,
005sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),3,154
"Bus Lane, Driving in",0,29
Cell Phone,10,532
Commercial Veh on Pkwy,0,1
Defective Brakes,1,2
Disobey Steady Red Signal,20,699
Disobey Traffic Control Device,125,2162
Equipment (Other),0,94
Fail to Keep Right,0,4
Fail to Signal,0,95
Following Too Closely,0,11
Headlights (Defect. or Improper),11,286
Improper Lights,0,0
Improper Passing,2,32
Improper Turn,35,1921
Improper/Missing Plates,1,14
Not Giving R of W to Pedes.,7,252
Not Giving R of W to Veh.,0,27
One Way Street,1,47
Pavement Markings,10,221
Safety Belt,8,490
"School Bus, Passing Stopped",1,13
Speeding,15,151
Spillback,2,128
Tinted Windows,3,129
Truck Routes,0,2
U-Turn,2,22
Uninspected,0,8
Uninsured,3,219
Unlicensed Operator,9,222
Unregistered,4,67
Unsafe Lane Change,0,26
Other Movers,5,512
005    TOTAL Movers ,278,8580
