Midtown South Precinct,,
December ,,
014sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,29
Brake Lights (Defect.or Improper),8,332
"Bus Lane, Driving in",0,9
Cell Phone,106,3126
Commercial Veh on Pkwy,0,0
Defective Brakes,0,11
Disobey Steady Red Signal,28,662
Disobey Traffic Control Device,112,3770
Equipment (Other),0,12
Fail to Keep Right,0,18
Fail to Signal,64,568
Following Too Closely,0,2
Headlights (Defect. or Improper),0,781
Improper Lights,0,6
Improper Passing,0,0
Improper Turn,141,2906
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,75,1785
Not Giving R of W to Veh.,0,10
One Way Street,14,210
Pavement Markings,0,155
Safety Belt,55,2090
"School Bus, Passing Stopped",0,3
Speeding,6,176
Spillback,18,1035
Tinted Windows,19,435
Truck Routes,14,293
U-Turn,4,332
Uninspected,0,17
Uninsured,13,998
Unlicensed Operator,15,524
Unregistered,3,208
Unsafe Lane Change,15,339
Other Movers,39,1196
014    TOTAL Movers ,749,22041
