Midtown North Precinct,,
December ,,
018sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,17
Brake Lights (Defect.or Improper),14,328
"Bus Lane, Driving in",2,54
Cell Phone,73,2102
Commercial Veh on Pkwy,6,37
Defective Brakes,0,2
Disobey Steady Red Signal,35,841
Disobey Traffic Control Device,11,1163
Equipment (Other),0,15
Fail to Keep Right,0,3
Fail to Signal,3,187
Following Too Closely,1,3
Headlights (Defect. or Improper),22,377
Improper Lights,0,5
Improper Passing,0,2
Improper Turn,68,3344
Improper/Missing Plates,2,75
Not Giving R of W to Pedes.,6,238
Not Giving R of W to Veh.,1,7
One Way Street,2,90
Pavement Markings,2,143
Safety Belt,41,1664
"School Bus, Passing Stopped",0,23
Speeding,0,99
Spillback,1,100
Tinted Windows,3,160
Truck Routes,0,15
U-Turn,0,113
Uninspected,0,26
Uninsured,14,661
Unlicensed Operator,9,263
Unregistered,3,197
Unsafe Lane Change,2,55
Other Movers,9,431
018    TOTAL Movers ,330,12840
