
"68th Precinct",,
"December ",,
068sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",2,265
"Bus Lane, Driving in",0,1
"Cell Phone",63,1295
"Commercial Veh on Pkwy",4,59
"Defective Brakes",0,4
"Disobey Steady Red Signal",22,590
"Disobey Traffic Control Device",34,874
"Equipment (Other)",0,11
"Fail to Keep Right",0,2
"Fail to Signal",8,93
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",5,199
"Improper Lights",0,0
"Improper Passing",1,20
"Improper Turn",56,786
"Improper/Missing Plates",1,12
"Not Giving R of W to Pedes.",31,744
"Not Giving R of W to Veh.",0,19
"One Way Street",0,1
"Pavement Markings",10,99
"Safety Belt",71,1575
"School Bus, Passing Stopped",4,75
Speeding,24,590
Spillback,3,20
"Tinted Windows",35,413
"Truck Routes",14,157
U-Turn,1,24
Uninspected,1,4
Uninsured,21,594
"Unlicensed Operator",29,507
Unregistered,9,138
"Unsafe Lane Change",0,13
"Other Movers",24,525
"068    TOTAL Movers ",474,9720

