"Moving Violations",,
"111th Precinct",,
"December ",,
111sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",0,7
"Bus Lane, Driving in",0,0
"Cell Phone",62,2537
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",16,265
"Disobey Traffic Control Device",7,578
"Equipment (Other)",3,15
"Fail to Keep Right",0,0
"Fail to Signal",6,58
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",0,4
"Improper Lights",0,21
"Improper Passing",0,1
"Improper Turn",0,93
"Improper/Missing Plates",1,22
"Not Giving R of W to Pedes.",14,370
"Not Giving R of W to Veh.",0,6
"One Way Street",0,11
"Pavement Markings",3,439
"Safety Belt",38,1653
"School Bus, Passing Stopped",2,72
Speeding,46,548
Spillback,0,14
"Tinted Windows",20,821
"Truck Routes",1,19
U-Turn,2,25
Uninspected,5,96
Uninsured,12,248
"Unlicensed Operator",15,507
Unregistered,1,77
"Unsafe Lane Change",0,21
"Other Movers",27,1178
"111    TOTAL Movers ",281,9711
"* All figures are preliminary and subject to change.",,
