
Citywide,,
"December ",,
citysum,,
"","  ","  "
"Backing Unsafely",101,2022
"Brake Lights (Defect.or Improper)",835,22700
"Bus Lane, Driving in",56,2745
"Cell Phone",3862,106503
"Commercial Veh on Pkwy",65,1430
"Defective Brakes",18,327
"Disobey Steady Red Signal",2299,53445
"Disobey Traffic Control Device",6775,152617
"Equipment (Other)",358,9272
"Fail to Keep Right",14,347
"Fail to Signal",1190,22088
"Following Too Closely",77,1336
"Headlights (Defect. or Improper)",799,21474
"Improper Lights",88,3655
"Improper Passing",183,4632
"Improper Turn",3618,73234
"Improper/Missing Plates",108,3308
"Not Giving R of W to Pedes.",1517,33577
"Not Giving R of W to Veh.",198,3365
"One Way Street",250,5137
"Pavement Markings",1018,28707
"Safety Belt",3062,98321
"School Bus, Passing Stopped",160,5428
Speeding,6493,117767
Spillback,142,4437
"Tinted Windows",3476,74345
"Truck Routes",209,4654
U-Turn,343,6930
Uninspected,174,5872
Uninsured,1799,47736
"Unlicensed Operator",2430,57023
Unregistered,538,12211
"Unsafe Lane Change",347,5880
"Other Movers",2681,69979
"TOTAL Movers ",45283,1062504
,,

